ID,num_CH4,310K_visco,370K_visco,VI,Glass_T
1,1,25.9787,5.4999,156,269.27606
2,150,28.89058,5.33206,119,241.85796
3,300,28.18673,5.64889,145,236.19807
4,450,31.62734,5.50178,110,219.92894
5,599,34.11757,5.50049,95,222.26859
6,300,27.25953,5.63672,153,227.13109
7,180,25.40005,5.40985,156,236.69674
8,90,27.47974,5.54972,145,236.57409
9,30,27.29292,5.62103,151,258.63468
10,420,27.09315,5.30869,132,228.62861
11,510,33.02175,5.85271,121,226.32466
12,570,33.48233,5.793,115,218.92421
13,300,29.04251,5.75326,144,231.92246
14,240,27.93964,5.43147,133,235.28699
15,360,27.06257,5.55912,150,236.10576
16,200,26.34495,5.4019,146,229.45434
17,330,29.77079,5.29444,110,230.1126
18,250,30.03383,5.61061,128,228.11719
19,600,34.70358,6.014,119,215.94488
20,480,32.681,5.63037,111,228.18093
21,440,31.50958,5.50743,112,226.41156
22,360,28.91136,5.60529,136,225.0282
23,240,30.06472,5.41722,116,231.74717
24,200,27.78966,5.70859,157,234.87721
25,120,27.71024,5.27419,125,239.59719
26,0,25.64086,5.30495,146,278.29086
27,560,33.19065,5.74434,114,218.05353
28,40,27.45885,5.42545,137,248.53793
29,520,28.88346,5.61943,137,225.93672
30,80,26.82214,5.50225,148,250.77169
